,text,intent_ovr
12738,feels as if everyone making it lost their movie mojo .,review
43697,blood and disintegrating vampire cadavers,review
47559,cheats on itself and retreats to comfortable territory,review
12845,A virtual roller-coaster ride,review
54252,This New Zealand coming-of-age movie,review
16829,"to learn ,",review
56562,a cool event for the whole family,review
14565,feel the wasted potential of this slapstick comedy,review
10148,that Woody Allen seems to have bitterly forsaken,review
22515,mean much to me,review
13507,one for this kind of movie,review
65634,by uneven dialogue and plot lapses,review
10697,suited to a quiet evening on PBS than a night out,review
19935,"will win you over , in a big way",review
83833,suitable for a matinee,review
13267,an ART FILM,review
83595,that never becomes claustrophobic,review
62139,add up to a moving tragedy with some buoyant human moments,review
34145,commands attention .,review
26266,it 's so not-at-all-good,review
27917,an Adam Sandler Chanukah song,review
1725,"running around ,",review
9095,from the Tinseltown assembly line,review
63637,short of profound characterizations,review
36889,is a worthwhile topic for a film,review
63973,is overkill to the highest degree,review
19805,a huge sacrifice,review
48920,pratfalls but little else,review
34727,things to like,review
9085,can get on television for free,review
70416,like an old Warner Bros. costumer jived with sex,review
79838,take for granted in most films are mishandled here,review
85734,it can impart an almost visceral sense of dislocation and change .,review
73364,- The Fanboy,review
68632,to skip but film buffs should get to know,review
70078,"wacky sight gags , outlandish color schemes",review
55509,"She 's a pretty woman , but she 's no working girl",review
18805,'re at the right film,review
49581,of eager fans,review
48763,ca n't get sufficient distance from Leroy 's,review
7185,be truly prurient,review
51194,on other levels,review
22385,thriller as lazy as it is interminable,review
15156,doing the goofiest stuff out of left field,review
45495,a powerful look,review
49160,free of her old life,review
59213,it definitely gives you something to chew on,review
44982,his own fear and paranoia,review
79067,"has been overexposed , redolent of a thousand cliches , and yet",review
4630,"bring on the Battle Bots ,",review
45976,about the death penalty,review
23042,", this will be an enjoyable choice for younger kids .",review
83922,the military system of justice,review
42756,forgiveness and murder,review
28588,like Saturday morning TV in the '60s,review
38022,just how far,review
79182,the high seas that works better the less the brain is engaged,review
49645,nostalgia or sentimentality,review
81529,a variant of the nincompoop Benigni persona,review
8020,is a great deal of fun .,review
54385,a balanced film,review
65536,nothing else to watch,review
44325,"'s funny , touching , dramatically forceful , and beautifully shot .",review
43389,of involved talent,review
48784,becomes a sprawl of uncoordinated vectors,review
56217,to ` special effects ',review
63489,training and dedication,review
29381,movie splitting up in pretty much the same way,review
47044,outside the under-10 set,review
7267,surveyed high school students ...,review
79675,that it 's the butt of its own joke,review
2104,More sophisticated and literate than such pictures usually are ...,review
18365,", the production works more often than it does n't .",review
84867,classic moral-condundrum drama,review
48105,using an omniscient voice-over narrator,review
12913,"its recycled aspects , implausibility",review
63601,fails to spark this leaden comedy,review
73590,We 've seen it all before in one form or another,review
23355,the bard 's tragic play,review
80912,Eddie Murphy a movie star and the man,review
79852,a bit undisciplined,review
59376,been a sketch on Saturday Night Live,review
27240,a couple of great actors hamming it up,review
61053,"run away from home , but your ego",review
67203,do n't think this movie loves women at all .,review
54962,its familiar subject matter,review
70853,"Reyes ' directorial debut has good things to offer ,",review
26825,"learns her place as a girl , softens up and",review
43387,despite a lot of involved talent,review
1767,barely defensible sexual violence,review
74786,of Oscar Wilde 's classic satire,review
77146,rarely receive it,review
49300,a big deal,review
5836,at publishing giant William Randolph Hearst,review
14079,"girls , right down the reality drain",review
74939,an unlimited amount of phony blood,review
42309,decidedly mixed bag,review
20290,"Twohy 's a good yarn-spinner , and ultimately the story compels .",review
32272,a good line,review
19794,half as entertaining,review
64141,are as valid,review
43335,broken character study,review
46024,now computerized Yoda,review
40975,make his debut as a film director,review
19607,a murder mystery,review
31782,comedy since Being John Malkovich,review
14008,'d rather watch them on the Animal Planet .,review
