,text,intent_ovr
76304,force performance by Michel Piccoli,review
78413,"like quirky , odd movies and\/or the ironic",review
57884,from King Hunk,review
49635,"better characters , some genuine quirkiness",review
47810,had gone in for pastel landscapes .,review
75484,a tidal wave of plot arrives,review
78377,a few new swings thrown in,review
11244,"required of her ,",review
82999,would have made this a superior movie,review
85353,This pathetic junk is barely an hour long .,review
32967,a couple hours,review
53401,well worth revisiting,review
67857,Ford effortlessly filled with authority,review
64579,"both in front of and , more specifically , behind the camera",review
68793,without any of its satirical,review
21209,"television , music and",review
7369,had their hearts in the right place,review
54371,after-school TV special,review
65390,for its duration,review
17062,getting all excited about a chocolate eclair,review
50646,of Roger the sad cad that really gives the film its oomph,review
46583,"Filled with low-brow humor , gratuitous violence and a disturbing disregard",review
69991,cross-country road trip,review
63660,the comedian at the end of the show,review
20725,disguising the obvious with energy and innovation,review
56112,might just be the movie you 're looking for .,review
45636,-LRB- A -RRB- crushing disappointment,review
6491,of ensemble cast romances recently,review
4299,possibly the best actor,review
64115,of tradition and warmth,review
69235,find 80 minutes of these shenanigans exhausting,review
69242,Hollywood is sordid and disgusting .,review
23266,a sadistic bike flick,review
50655,Schneider and director Shawn Levy,review
72015,Ram Dass 's latest book,review
54483,raw film stock,review
30266,"it will warm your heart ,",review
72785,has turned from sweet to bittersweet,review
55480,it 's an entertaining and informative documentary .,review
78158,in wedgie heaven,review
59073,the Cannes Film Festival,review
6320,more than enough sentimental catharsis for a satisfying evening at the multiplex,review
10254,it is n't particularly funny,review
7595,the conception than it does in the execution,review
5809,of real life,review
6589,pander to our basest desires for payback,review
50326,"pointed personalities , courage ,",review
62441,as emotionally manipulative and sadly imitative of innumerable past Love Story derisions,review
38828,some of the camera work,review
70819,'ll end up moved,review
83326,is too heavy for all that has preceded it,review
60458,lacks originality to make it a great movie,review
44489,hugely rewarding experience,review
15835,sacrificing its high-minded appeal,review
20016,Grant and Hoult,review
49176,"civil disobedience ,",review
23172,why human beings long for what they do n't have,review
345,'s going on here,review
13068,in its attempts to humanize its subject,review
41999,onto a moving truck,review
45899,the cadence of a depressed fifteen-year-old 's suicidal poetry,review
35325,Western foreign policy,review
52289,do no wrong with Jason X.,review
880,"directed , barely ,",review
64908,more salacious telenovela,review
43419,he shows and empathizes with the victims he reveals,review
17204,a girl in a world of boys,review
67457,the slack execution,review
28764,spider invasion comic chiller,review
31331,Craig Bartlett 's,review
82573,", rent the Disney version .",review
68560,an erratic career,review
10637,it should be,review
4151,yelling in your face for two hours,review
43332,each moment of this broken character study,review
60373,which might have been called Freddy Gets Molested by a Dog -RRB-,review
13239,leaves a bitter taste,review
69630,that Liman tries to squeeze his story,review
38891,a hands-off approach,review
1103,is with the aid of those wisecracking Mystery Science Theater 3000 guys,review
73959,reminded us that a feel-good movie can still show real heart,review
30916,to the awfulness of the movie,review
9488,it earns extra points by acting as if it were n't,review
85145,that for the uninitiated plays better on video with the sound,review
49040,unlike watching a glorified episode of `` 7th Heaven,review
85350,directed but terminally cute drama .,review
16145,frozen winter landscapes,review
64617,"a tour de force ,",review
51530,his own ego,review
11022,"its leaden acting ,",review
37518,This 90-minute postmodern voyage,review
73656,not enough Pretty Woman,review
29490,of Zhao Benshan,review
5461,to be desired,review
29652,Routine and rather silly .,review
64203,Attack of the Clones,review
5883,Univac-like script machine,review
17877,the writers ' sporadic dips,review
9826,lowly studio hack,review
44751,done by most of the rest of her cast,review
49287,looking for them,review
80450,Mendes still does n't quite know how to fill a frame .,review
1888,it is n't incomprehensible,review
53804,things peter out midway,review
56468,"'s often handled in fast-edit , hopped-up fashion",review
70627,"God is great , the movie 's not .",review
9998,without the use of special effects,review
74314,for a set,review
13195,during the Reagan years,review
44708,"slow , predictable",review
47984,is n't always,review
41372,something to behold,review
71528,Witherspoon 's talents,review
61375,why this did n't connect with me would require another viewing,review
7359,so solidly connect with one demographic while,review
29306,"some of this worn-out , pandering palaver is actually funny",review
17933,makes the move from pleasing,review
84356,A quietly moving,review
73532,be another shameless attempt by Disney,review
7860,with considerable appeal,review
71956,amid all the blood,review
45387,belongs firmly in the so-bad-it 's - good camp .,review
82150,an advanced Prozac Nation,review
35091,find Morrison 's iconoclastic uses of technology to be liberating,review
44046,Mr. Dong 's continuing exploration,review
26058,catches you up,review
35135,more and more abhorrent,review
25115,that keeps throwing fastballs,review
84645,"to get wet , fuzzy and sticky",review
30523,ahead of him,review
77684,a human volcano or an overflowing septic tank,review
62293,we know the outcome,review
50274,of ` Fatal Attraction ' for the teeny-bopper set,review
73035,With a `` Spy Kids '' sequel opening,review
81326,a script that assumes you are n't very bright,review
70577,made the first film so special,review
4527,is a hoot .,review
75792,the Western world,review
79137,and Bill Weber,review
26774,real situations and characters,review
22060,seeing something purer,review
83861,'re in for a painful ride,review
7493,burn the negative and the script and,review
80949,clever if pointless excursion,review
64026,"your seat , tense with suspense",review
27706,By applying definition to both sides of the man,review
9762,The action is stilted and the tabloid energy embalmed,review
66074,an adorably whimsical comedy that deserves more than a passing twinkle,review
71975,that you could easily be dealing with right now in your lives,review
23003,"poorly scripted , preachy fable",review
60627,"guess , about artifice and acting",review
60898,to assume is just another day of Brit cinema,review
514,it one of the best war movies ever made,review
34490,Stirs potentially enticing ingredients,review
66543,TV sitcom material at best,review
77655,of room for editing,review
74786,of Oscar Wilde 's classic satire,review
31947,of two genuinely engaging performers,review
78512,The Four Feathers '',review
21090,like a true star,review
22396,"low , smoky and inviting",review
59717,experienced by Southern blacks as distilled,review
43387,despite a lot of involved talent,review
1550,Eight Legged Freaks,review
58145,your way to pay full price,review
48109,the manner of French New Wave films,review
58825,worth checking out at theaters,review
51838,A deliberative account,review
34795,"a story , an old and scary one ,",review
25733,of the same name,review
25447,delivers a magnetic performance,review
40831,105 minutes seem twice as long,review
29160,overall an overwhelmingly positive portrayal,review
33825,are all in the performances,review
72275,but not great,review
9982,is a frat boy 's idea of a good time,review
13006,in the middle,review
34717,Lucky Break is -LRB- Cattaneo -RRB- sophomore slump .,review
43394,"will get you thinking , ` Are we there yet",review
53740,that is constantly being interrupted by Elizabeth Hurley in a bathing suit,review
24291,Brown Sugar from the curse of blandness,review
7218,"its characters ,",review
67976,"The direction , by George Hickenlooper",review
11843,many a moon,review
65251,learned a bit more craft since directing Adams,review
19717,cinematography and exhilarating,review
7420,only these guys are more harmless pranksters than political activists .,review
67632,"in Asia , where Ms. Shu is an institution",review
55461,it chiefly inspires you to drive a little faster,review
61658,delights and simmering,review
10755,Master of Disguise,review
63721,in film history,review
19595,a dark and stormy night,review
43676,his English-language debut,review
71360,"with this tortured , dull artist and monster-in-the",review
62500,as immediate as the latest news footage from Gaza,review
79059,shake us in our boots,review
63730,"is visually ravishing ,",review
79662,"nervous energy , moral ambiguity and great uncertainties",review
66719,in his audience,review
19051,as we know it,review
62304,the stomach-knotting suspense of a legal thriller,review
28782,"sit open-mouthed before the screen , not screaming but yawning",review
59378,on Saturday Night Live,review
70256,with this increasingly pervasive aspect of gay culture,review
20765,from musty memories of half-dimensional characters,review
54482,the raw film stock,review
60014,", you 'll still be glued to the screen .",review
2722,"bears a grievous but obscure complaint against fathers ,",review
51368,a fierce dance of destruction,review
29042,as art things,review
79782,his generation 's,review
36004,of layer upon layer,review
13839,some -LRB- out-of-field -RRB- creative thought,review
78492,'s an effort to watch this movie,review
70534,hospital bed or insurance company office,review
52974,a matinee price,review
75805,"too bleak , too pessimistic and too unflinching",review
55034,"had , lost , and got back",review
21610,an otherwise delightful comedy,review
62279,a bisexual sweetheart,review
51956,flails limply between bizarre comedy and pallid horror .,review
43856,are not at all,review
4837,classy in a '60s,review
34922,'s as sweet as Greenfingers,review
52098,from himself and from newcomer Derek Luke,review
70631,"Great performances , stylish cinematography and",review
52587,is now outselling the electric guitar ... '',review
78147,of deft and subtle poetry,review
56448,the 30-year friendship,review
7296,with a subscription to ESPN the Magazine,review
24853,This sort of cute and cloying material,review
60212,of exotic locales,review
35336,", in the end ,",review
3020,"sad , occasionally horrifying but often inspiring film",review
19718,fewer slow-motion ` grandeur ' shots,review
58007,"A funny , triumphant , and",review
59691,"The whole affair , true story or not , feels incredibly hokey",review
27239,enjoy a couple of great actors hamming it up,review
29581,"confined to a single theater company and its strategies and deceptions ,",review
24240,colorful but flat,review
24311,and Owen Wilson,review
75837,This film biggest problem ?,review
22302,make for much of a movie,review
78447,get light showers of emotion,review
78518,is fighting whom here,review
24029,such a rah-rah,review
21000,permitting its characters,review
65091,boosted to the size of a downtown hotel,review
84792,as `` All That Heaven Allows '' and `` Imitation,review
39257,worst -- and only -- killer website movie,review
62589,"the visuals , even erotically frank ones , become dullingly repetitive",review
42144,"wild , lunatic invention",review
46996,"feel the screenwriter at every moment ` Tap ,",review
82119,runs a mere 84 minutes,review
61530,of those art house films,review
82442,like real people,review
5770,integrated with the story,review
67492,"suspense , surprise and",review
12721,oddly winning portrayal,review
86105,the emotional realities of middle age,review
25375,hugely imaginative and successful,review
77387,while it forces you to ponder anew what a movie can be,review
9252,"all awkward ,",review
47009,driven by appealing leads,review
47992,hold the gong,review
65201,"a dangerous , secretly unhinged guy",review
333,that makes for some glacial pacing early on,review
55098,"Alternately hilarious and sad , aggravating and soulful , scathing and joyous",review
3705,the comic possibilities,review
17657,A knowing sense,review
45285,fits into a classic genre,review
79949,of small-town competition,review
7099,recalling sixties ' rockumentary milestones,review
81676,to work from,review
13956,in their cabins,review
10924,delightfully against the grain,review
57791,"for their labor , living harmoniously , joined in song",review
16435,hit Franklin needs to stay afloat in Hollywood,review
48191,"Holm does his sly , intricate magic , and",review
56472,", hopped-up fashion",review
32742,into their own brightly colored dreams,review
80651,still could have been room for the war scenes,review
30706,"cliches , painful improbability",review
82575,rent the Disney version,review
73152,when you 're almost dozing,review
78922,worldly-wise and very funny,review
20155,is : ` Scooby ' do n't,review
83940,its perfect quiet pace,review
73127,try to convince us that acting transfigures Esther,review
49900,they do best - being teenagers,review
61937,you know it 's going to be a trip,review
43903,"the incessant , so-five-minutes-ago pop music",review
48408,whirling fight sequences,review
24886,The film has a childlike quality about it .,review
47843,little grace -LRB- Rifkin 's -RRB- tale,review
73134,seen speaking on stage,review
80883,so true and heartbreaking,review
85332,think it is,review
57709,"a cheap thriller , a dumb comedy",review
13877,"three excellent principal singers ,",review
74366,almost in spite of itself,review
38120,"opens today in the New York metropolitan area , so distasteful",review
59489,with one of France 's most inventive directors,review
31447,fiercely intelligent and uncommonly ambitious,review
69360,natural and lovely,review
36610,a successful career in TV,review
29579,Last Metro -RRB-,review
66177,sink this ` sub ',review
56774,pure misogynist evil,review
42304,Brosnan James Bond,review
57325,the basis of his first starring vehicle,review
27805,dumb but occasionally,review
299,than well-constructed narrative,review
76183,the messages espoused in the company 's previous video work,review
28369,All About Lily Chou Chou,review
6644,it were a series of Bible parables and not an actual story,review
8608,A film without surprise,review
16915,"on , well",review
17194,of what it actually means to face your fears,review
5891,by India 's popular Gulzar and Jagjit Singh,review
30429,A bad movie,review
38385,in the market or a costly divorce,review
77784,it is Japanese and yet feels universal,review
18221,borders on rough-trade homo-eroticism,review
7584,something else altogether --,review
17042,It is supremely unfunny and unentertaining to watch middle-age and,review
33705,You 're never quite sure where self-promotion ends and the truth begins,review
52655,"A little uneven to be the cat 's meow ,",review
73405,carnage and re-creation,review
81777,"is contrived , unmotivated , and psychologically unpersuasive",review
9315,adored The Full Monty so resoundingly,review
74440,guessed at the beginning,review
49797,seem at least passably real,review
46372,a simple fable,review
17001,mean-spirited and wryly,review
60669,did they not,review
70425,"Bette Davis , cast as Joan , would have killed him",review
11934,"quirky characters , odd situations , and",review
36609,had a successful career in TV,review
22898,'s already been too many of these films,review
12916,sags in pace,review
46715,", the film shatters you in waves .",review
33647,'s obvious -LRB- Je-Gyu is -RRB- trying for poetry,review
49873,it work more than it probably should,review
62428,direction and complete lack of modern day irony,review
43406,"nudity , profanity and violence",review
50791,Extraordinary debut from Josh Koury,review
46292,", stop Eric Schaeffer before he makes another film .",review
84506,a lousy one,review
35901,"does all of this , and more",review
38056,"It ca n't escape its past ,",review
25410,one carried by a strong sense of humanism,review
38872,after you leave the theater,review
51434,bad Clive Barker movie,review
75454,his cipherlike personality and bad behavior,review
74908,an interesting slice of history,review
15333,to see who can out-bad-act the other,review
36592,wickedly funny and just plain wicked,review
69245,sordid and disgusting,review
36793,really has to be exceptional to justify a three hour running time,review
72387,put through torture for an hour and a half,review
56617,Lan Yu is certainly a serviceable melodrama,review
65072,one-of-a-kind tour de force,review
33413,to create images you wish you had n't seen,review
17693,Even if the Naipaul original remains the real masterpiece,review
28498,clever by half,review
6291,"tired , unnecessary",review
82445,It is very difficult to care about the character,review
46160,nothing about who he is or who he was before,review
70822,"A sweet , tender sermon",review
84865,classic moral-condundrum drama : What would you have done to survive ?,review
23952,at least one more story to tell : his own,review
65287,creates an impeccable sense of place,review
61492,it feels more forced than usual .,review
20422,"an oily arms dealer , squad car pile-ups and",review
11586,lightness and strictness in this instance,review
42701,", lingering death",review
13704,any movie with a life-affirming message,review
51280,not to be looking at,review
56769,"a curiously stylized , quasi-Shakespearean portrait of pure misogynist evil",review
63402,elegantly considers various levels of reality,review
30708,Poignant if familiar story of a young person,review
54024,and paper-thin supporting characters,review
23394,Fans of critics ' darling band Wilco,review
69977,most entertaining Bonds,review
12164,The heat of the moment prevails .,review
19203,Even as the hero of the story rediscovers his passion in life,review
46267,is never really a true `` us '' versus `` them '',review
11609,a noble end,review
38745,a class with that of Wilde,review
22832,"great charm , generosity and diplomacy",review
84660,a dog-tag and an M-16,review
31081,of the intriguing premise,review
17879,into pop Freudianism,review
35303,"Jane Campion might have done ,",review
81214,The makers of Mothman Prophecies,review
59842,"provides no easy answers ,",review
43950,for the material,review
41135,gargantuan leaps of faith just to watch it,review
5457,here leaves a lot to be desired,review
83417,"Cox is far more concerned with aggrandizing madness , not the man",review
77808,their incessant whining,review
74560,so low in a poorly,review
38121,"opens today in the New York metropolitan area ,",review
34726,find things to like,review
51857,"as narrator , Jewish grandmother and subject",review
65014,"Ponderous , plodding soap opera disguised as a feature film .",review
70407,does its sensitive handling of some delicate subject matter,review
69712,"zings all the way through with originality , humour and pathos",review
24887,has a childlike quality about it .,review
73639,-- not even with that radioactive hair,review
